task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
161	0b/4ec12d	402390	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_ASSEMBLEPAIRS_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:26:14.991	1m 3s	1m 1s	525.2%	698.7 MB	8.4 GB	259.7 MB	181.7 MB
162	f0/a49659	406578	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383466)	COMPLETED	0	2025-01-28 11:27:18.452	4.8s	2s	182.4%	38.3 MB	1 GB	40 MB	772.2 KB
163	6c/f0fc0b	406929	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383452)	COMPLETED	0	2025-01-28 11:27:23.271	7.5s	4s	138.9%	225.2 MB	1.2 GB	68.7 MB	27.7 MB
164	58/340b36	407445	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383467)	COMPLETED	0	2025-01-28 11:27:30.788	5.1s	2s	179.2%	32.7 MB	1 GB	40.9 MB	1.4 MB
165	67/35fbdb	407817	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383465)	COMPLETED	0	2025-01-28 11:27:35.910	8.8s	6s	128.5%	305.3 MB	1.3 GB	87.9 MB	47.4 MB
166	01/e714c4	408489	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383451)	COMPLETED	0	2025-01-28 11:27:44.726	12.4s	9s	118.8%	489.2 MB	1.5 GB	135.6 MB	82.6 MB
167	c0/bfc72e	409304	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383463)	COMPLETED	0	2025-01-28 11:27:57.168	14.5s	11s	114.9%	602.4 MB	1.6 GB	163.3 MB	112.1 MB
169	b0/617cfe	410298	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_COLLAPSE_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:28:11.689	5.5s	1s	170.4%	11.2 MB	16.7 MB	13.1 MB	1.3 MB
171	24/459d47	410819	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383453)	COMPLETED	0	2025-01-28 11:28:17.167	5.8s	2s	147.0%	47.2 MB	1 GB	39.8 MB	15.9 MB
168	62/bf135a	410292	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383456)	COMPLETED	0	2025-01-28 11:28:11.683	14.5s	10s	24.0%	75.6 MB	287.7 MB	8 MB	354.4 KB
173	5f/7eab77	411561	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_COLLAPSE_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:28:22.942	6.3s	3s	139.3%	47.9 MB	1 GB	44.1 MB	16.7 MB
174	13/ebce8b	412028	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383466)	COMPLETED	0	2025-01-28 11:28:26.235	7.1s	1s	159.1%	11.2 MB	16.7 MB	11.2 MB	367.9 KB
175	95/9e16d4	412306	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383452)	COMPLETED	0	2025-01-28 11:28:29.245	8.6s	2s	101.8%	46.4 MB	1 GB	36.3 MB	14 MB
176	32/64ee63	412712	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383467)	COMPLETED	0	2025-01-28 11:28:33.343	6.2s	0ms	264.3%	11.2 MB	16.7 MB	11.8 MB	673.9 KB
177	4a/715880	413121	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383465)	COMPLETED	0	2025-01-28 11:28:37.846	10.4s	3s	107.1%	49.8 MB	1 GB	55.7 MB	24.5 MB
178	8f/66b029	413225	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383451)	COMPLETED	0	2025-01-28 11:28:39.506	10.1s	4s	121.2%	55.7 MB	1 GB	82.7 MB	39.1 MB
180	4c/a7b042	414162	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:28:49.652	5.8s	1s	231.6%	11.1 MB	16.7 MB	13.1 MB	1.4 MB
179	9b/412378	414098	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383463)	COMPLETED	0	2025-01-28 11:28:48.218	11.9s	6s	109.1%	58.3 MB	1 GB	112.3 MB	55.1 MB
181	b9/6fa3f5	414716	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383453)	COMPLETED	0	2025-01-28 11:28:55.465	7.4s	3s	132.2%	115.1 MB	1.1 GB	65.8 MB	9.8 MB
183	c4/f75738	415435	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:29:02.885	7.7s	2s	146.3%	47.5 MB	1 GB	44 MB	17.7 MB
182	40/9e34cb	415327	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383456)	COMPLETED	0	2025-01-28 11:29:00.125	16.5s	10s	18.9%	74.5 MB	1.1 GB	15.6 MB	31 KB
184	d8/dd428e	416318	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383466)	COMPLETED	0	2025-01-28 11:29:10.548	6.1s	1s	154.3%	53.7 MB	1 GB	34.8 MB	230.9 KB
186	6e/5227dc	417068	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383467)	COMPLETED	0	2025-01-28 11:29:16.678	10.2s	2s	144.7%	39.4 MB	1 GB	35.4 MB	418.8 KB
185	11/b5604e	417037	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383452)	COMPLETED	0	2025-01-28 11:29:16.627	12s	2s	131.1%	114.6 MB	1.1 GB	62 MB	8.7 MB
187	5a/fb4f28	417989	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383465)	COMPLETED	0	2025-01-28 11:29:26.902	11.3s	3s	129.6%	119.3 MB	1.1 GB	83 MB	15.2 MB
188	83/408de7	418060	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383451)	COMPLETED	0	2025-01-28 11:29:28.654	11.9s	4s	122.8%	126.3 MB	1.1 GB	112.3 MB	24.2 MB
190	36/c72ed7	419305	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383463)	COMPLETED	0	2025-01-28 11:29:38.235	12.4s	5s	117.0%	131.6 MB	1.1 GB	144.3 MB	34.1 MB
194	7c/c800a3	420932	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383466)	COMPLETED	0	2025-01-28 11:29:50.670	7.8s	3s	108.4%	72.6 MB	283.2 MB	8 MB	488.8 KB
195	58/a81a41	422111	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383467)	COMPLETED	0	2025-01-28 11:29:58.481	11.2s	6s	173.4%	78.1 MB	283.4 MB	8.4 MB	1.4 MB
193	84/276b41	417074	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383456)	COMPLETED	0	2025-01-28 11:29:16.682	58.4s	40.5s	44.6%	537.4 MB	1.8 GB	135.3 MB	49.5 KB
