subj_locus	gene	seq_count	seq_freq	sample_id	subject_id	locus
SRR1383464_M5_IG	IGHV1-69-2	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-30-5	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-64	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-73	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-31	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-34	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-39	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV6-1	1	0.000954198473282443	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-69-1	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-31	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-34	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV6-1	1	0.000577700751010976	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV1-18	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-15	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-23	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-9	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-30-2	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-4	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-61	1	0.04	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV7-4-1	1	0.04	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-3	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-11	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-33	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-49	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-72	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV6-1	1	0.0125	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV7-4-1	1	0.0125	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV1-18	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-45	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-69	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-8	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV2-5	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-21	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV3-73	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-30-4	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV4-4	1	0.0153846153846154	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV5-51	1	0.0153846153846154	SRR1383468	M5	IG
