subj_locus	gene	clone_count	clone_freq	sample_id	subject_id	locus
SRR1383451_M4_IG	IGHV2-26	1	0.000501756146512795	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV3-20	1	0.000501756146512795	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-30-2	1	0.000501756146512795	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV2-70	1	0.00141442715700141	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-53	1	0.00141442715700141	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-34	1	0.00141442715700141	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV6-1	1	0.00141442715700141	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV1-45	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-20	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-53	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-31	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-34	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-39	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-4	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV6-1	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383456_M4_IG	IGHV1-8	1	0.2	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV2-5	1	0.2	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV3-7	1	0.2	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV4-30-2	1	0.2	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV4-4	1	0.2	SRR1383456	M4	IG
SRR1383463_M5_IG	IGHV1-45	1	0.000351123595505618	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-30-5	1	0.000351123595505618	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-69-1	1	0.000351123595505618	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV1-45	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV1-58	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV1-69-2	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-30-5	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-64	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-73	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-31	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-34	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV4-39	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV6-1	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-64	1	0.000886524822695035	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-69-1	1	0.000886524822695035	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-31	1	0.000886524822695035	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV4-34	1	0.000886524822695035	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV6-1	1	0.000886524822695035	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV1-18	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV1-2	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-15	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-23	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV3-9	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-30-2	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-4	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV4-61	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383466_M5_IG	IGHV7-4-1	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV1-3	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-11	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-21	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-33	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-49	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV3-72	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV6-1	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV7-4-1	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV1-18	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV1-2	1	0.024390243902439	SRR1383468	M5	IG
