ID	QUALITY
SRR1383456.1003	37
SRR1383456.1004	25
SRR1383456.1005	22
SRR1383456.1006	22
SRR1383456.1007	33
SRR1383456.1008	16
SRR1383456.1010	32
SRR1383456.1011	37
SRR1383456.1000	15
SRR1383456.1009	24
SRR1383456.1012	17
SRR1383456.1013	33
SRR1383456.1014	20
SRR1383456.1015	28
SRR1383456.1016	22
SRR1383456.1017	17
SRR1383456.1018	4
SRR1383456.1021	28
SRR1383456.1020	22
SRR1383456.1019	26
SRR1383456.1022	12
SRR1383456.1023	33
SRR1383456.1024	29
SRR1383456.1025	19
SRR1383456.1027	24
SRR1383456.1030	26
SRR1383456.1028	13
SRR1383456.1029	4
SRR1383456.1026	22
SRR1383456.1031	24
SRR1383456.1032	32
SRR1383456.1033	35
SRR1383456.1037	19
SRR1383456.1035	21
SRR1383456.1036	25
SRR1383456.1040	11
SRR1383456.1034	17
SRR1383456.1039	27
SRR1383456.1038	17
SRR1383456.1041	7
SRR1383456.1042	9
SRR1383456.1043	32
SRR1383456.1044	37
SRR1383456.1046	22
SRR1383456.1045	18
SRR1383456.1047	28
SRR1383456.1048	17
SRR1383456.1049	24
SRR1383456.1050	2
SRR1383456.1051	17
SRR1383456.1052	17
SRR1383456.1053	28
SRR1383456.1054	4
SRR1383456.1055	18
SRR1383456.1056	20
SRR1383456.1057	37
SRR1383456.1058	23
SRR1383456.1059	17
SRR1383456.1060	5
SRR1383456.1064	22
SRR1383456.1062	28
SRR1383456.1063	15
SRR1383456.1061	36
SRR1383456.1065	26
SRR1383456.1066	27
SRR1383456.1067	14
SRR1383456.1068	23
SRR1383456.1069	6
SRR1383456.1070	30
SRR1383456.1074	36
SRR1383456.1072	24
SRR1383456.1073	37
SRR1383456.1071	29
SRR1383456.1075	19
SRR1383456.1079	19
SRR1383456.1077	23
SRR1383456.1078	16
SRR1383456.1076	18
SRR1383456.1080	25
SRR1383456.1081	27
SRR1383456.1085	36
SRR1383456.1083	18
SRR1383456.1082	12
SRR1383456.1084	8
SRR1383456.1086	7
SRR1383456.1087	37
SRR1383456.1088	18
SRR1383456.1091	8
SRR1383456.1089	30
SRR1383456.1093	10
SRR1383456.1092	14
SRR1383456.1090	3
SRR1383456.1094	18
SRR1383456.1095	18
SRR1383456.1096	5
SRR1383456.1098	23
SRR1383456.1099	30
SRR1383456.1097	37
SRR1383456.1100	15
SRR1383456.1101	25
SRR1383456.1103	5
SRR1383456.1104	20
SRR1383456.1102	34
SRR1383456.1105	6
SRR1383456.1106	25
SRR1383456.1110	16
SRR1383456.1108	6
SRR1383456.1109	28
SRR1383456.1107	31
SRR1383456.1111	28
SRR1383456.1112	10
SRR1383456.1113	34
SRR1383456.1114	25
SRR1383456.1115	7
SRR1383456.1116	16
SRR1383456.1117	16
SRR1383456.1118	8
SRR1383456.1119	37
SRR1383456.1120	22
SRR1383456.1121	37
SRR1383456.1122	7
SRR1383456.1123	32
SRR1383456.1124	29
SRR1383456.1125	11
SRR1383456.1126	29
SRR1383456.1127	17
SRR1383456.1128	17
SRR1383456.1132	23
SRR1383456.1130	35
SRR1383456.1131	7
SRR1383456.1133	6
SRR1383456.1134	10
SRR1383456.1135	28
SRR1383456.1129	13
SRR1383456.1136	25
SRR1383456.1140	25
SRR1383456.1138	28
SRR1383456.1139	25
SRR1383456.1137	21
SRR1383456.1141	18
SRR1383456.1142	22
SRR1383456.1143	16
SRR1383456.1144	22
SRR1383456.1145	25
SRR1383456.1146	8
SRR1383456.1147	24
SRR1383456.1148	23
SRR1383456.1149	35
SRR1383456.1150	25
SRR1383456.1151	21
SRR1383456.1152	30
SRR1383456.1153	37
SRR1383456.1154	31
SRR1383456.1158	21
SRR1383456.1156	16
SRR1383456.1157	31
SRR1383456.1155	33
SRR1383456.1159	22
SRR1383456.1160	10
SRR1383456.1161	16
SRR1383456.1162	28
SRR1383456.1163	8
SRR1383456.1164	35
SRR1383456.1165	37
SRR1383456.1166	25
SRR1383456.1167	19
SRR1383456.1168	36
SRR1383456.1170	30
SRR1383456.1169	18
SRR1383456.1171	4
SRR1383456.1172	13
SRR1383456.1173	32
SRR1383456.1174	22
SRR1383456.1178	29
SRR1383456.1177	24
SRR1383456.1176	27
SRR1383456.1175	8
SRR1383456.1179	30
SRR1383456.1181	24
SRR1383456.1180	37
SRR1383456.1182	36
SRR1383456.1183	24
SRR1383456.1184	15
SRR1383456.1185	14
SRR1383456.1186	4
SRR1383456.1187	22
SRR1383456.1188	35
SRR1383456.1189	32
SRR1383456.1190	26
SRR1383456.1191	24
SRR1383456.1192	30
SRR1383456.1193	23
SRR1383456.1194	31
SRR1383456.1195	23
SRR1383456.1196	31
SRR1383456.1197	29
SRR1383456.1198	24
SRR1383456.1199	23
SRR1383456.1200	27
SRR1383456.1201	22
SRR1383456.1202	22
SRR1383456.1203	6
SRR1383456.1205	31
SRR1383456.1204	31
SRR1383456.1206	4
SRR1383456.1207	34
SRR1383456.1208	12
SRR1383456.1210	28
SRR1383456.1209	15
SRR1383456.1211	30
SRR1383456.1212	34
SRR1383456.1213	24
SRR1383456.1214	23
SRR1383456.1216	18
SRR1383456.1217	7
SRR1383456.1215	23
SRR1383456.1219	34
SRR1383456.1218	37
SRR1383456.1220	27
SRR1383456.1221	14
SRR1383456.1223	17
SRR1383456.1222	36
SRR1383456.1226	3
SRR1383456.1225	17
SRR1383456.1227	17
SRR1383456.1224	4
SRR1383456.1228	26
SRR1383456.1229	24
SRR1383456.1231	35
SRR1383456.1230	23
SRR1383456.1232	7
SRR1383456.1236	19
SRR1383456.1235	20
SRR1383456.1234	15
SRR1383456.1233	29
SRR1383456.1237	23
SRR1383456.1238	21
SRR1383456.1242	35
SRR1383456.1240	19
SRR1383456.1241	31
SRR1383456.1239	14
SRR1383456.1243	5
SRR1383456.1244	20
SRR1383456.1245	17
SRR1383456.1247	25
